user_id,num_levels_completed,returns,total_time_played,active_time
lp0II6D02mdUFKyxehKZjeYYUB6xyfUr0HHUko0w,2,3,450,420
LsREDrCbtrLcWQvvQGCFqexJFjTIND6S68FpWbNj,0,0,60,60
Lz4MuXSrGVk8mxlDjwFk8MSoZUK4GTeeL8iANAEe,0,0,30,30
m6zbO7f78WiY7uSKkjJlzymQxnTjU2rWKVFiLW45,2,0,120,120
MgPPW6JUFvpVprFAp1a7t4cOzlXPn3ZCBrUUqxjV,0,0,120,120
mZ7dwGmenx4zOEbB1vpLMzyNV5f8lUE0JpGZbvnU,1,0,30,30
NDjQCC7rQrrV1z5wubz1BrHvbt3VGNYrm0863GTU,2,0,150,150
nHpH1BClLwrZWKlX4BdHO6bIPbu77uqrC6NT7uL1,0,0,60,60
NwQRaWRpEcRuzFQ2TKcaJUt1R2SIDsa0VaOb35Hp,0,0,60,60
oDHthVIfcxcoqVMcud0vkG2FG1eMbDPOwpt4qUHl,0,0,150,150
ogY4akPAjVdMKcS3OmKSjSojCKPlfZE12kHcjYX5,1,0,60,60
oKuMRcN3qSPxwdx8hK2lXZpnj4Rg0lrhXlhMC3fZ,0,2,630,630
oNcbmfiSilyO5ZSm5tzErmYKjPPbouEIUvUVUp6o,0,0,0,0
pIOXnNRzhzmgNDxtEszMHxdEklMVp6GuLIjn5fmn,2,0,90,90
pwqLHnmjbhO76XwrLVa4cBfflikQvyC8gL3sRy0K,3,0,210,210
QRrTYZy5T8oGd5PJxQaRR1EAaoYpvCr83KX3CwC0,1,0,210,180
qUujZxhhXKo8sBN7YPXPwGkZK1WompAcySyg3gip,1,0,60,60
qx1YG3KmjNyxFc2T13E53rUe8ay2rZQXvpvROCvQ,0,4,0,0
raUjXmt2oWaAAm528e0mReTxk7eTk3hn1Q3fV7On,0,0,60,60
RgDxfoXRWtLcliddm06XnpgtaP6k6aTsLDDLuWb8,0,0,90,90
rgNPFRlC2gUSCEpsJ0ePrFZP7va3GuAbGLj0D3Lz,0,1,150,150
rlgexT5zMDBmpGp1YXjPVcJ5sZcdKXukTkQOkBFE,0,0,30,30
rONFHSRp3vaoeysBcgSg1qYCNCq4dPC513u5uVJ4,0,0,60,60
RSU8RkyxWuMSqSKvRLreaF2tHkz2XhWeVYE8pbVl,10,5,600,600
rZpyTMrH6iGdEuj3TFAZNfDNw8ipV1C1W3l8YpGA,0,0,60,60
S3vO2XgfA3IPJNlk8EwOUBwPak3OhZPOwABAY2DW,0,0,30,30
Sas0BE8tjWdaSpWTXMcqNJpoMZHg54cb2Iz2URZm,0,0,30,30
slxKbb781kFusPmCmy3nCz1RmZdh2UuI4V1zV10K,0,1,300,300
sPLYrzKr0buUVfAfUKv2I1LmLa2iaYzu0OWC3i7T,4,0,300,270
sYoHm0xVcBz1Uw8c0V1NmiPNBsnJAQjtj6Jdvmzt,5,0,240,240
Te2vyKhGICGSYk4oM5OUTZ0lJUvAfThwHMCDeWzB,0,0,90,90
TOe4wtVrjCoaYLRG2UcKteANYkhdQgEgkc5UFXAj,2,10,420,420
tQ1oKsG8Ce2Km1Gcf5cZM6JgM1t46qiruUtKAdHO,0,0,0,0
txWg8nEypgKIKMKrQuEQ3vQ6ecFUcBefCE6KmOHb,0,0,90,90
u3LlBvqD7QzAlhonI7FLo6g5FDvVAhYUsca16ioG,0,0,0,0
uBQw3oPPG7TdARtIdyTanvbP5nXrOMUMcreC1jHo,0,0,60,60
uWhwx1gV0ywi8ZkzvZdLAxDi68sunztVgeS5tspy,3,0,360,360
v472W4kxxcm01sfQ72UyGd28OIqRUvIvh2RkVo83,0,0,0,0
VDv8q49H7WwXemIaPJK4dw0F2GhhL5jGJPP9TYR1,0,0,0,0
VeciGxxZ2srCZKhbvhUJautW22oPU1uRKc4aZhsk,0,0,30,30
VNl425Wa8Xi8uoKJp7fWAuJFBguUBi1hIg7i5mqK,1,0,90,90
w474MaP0zwozqvTUKgORwNSofrEUgSnxjxJznlQT,0,1,84780,90
W62QWPLIHkvmGR70sLRO6hgGki1qVRmqCHSOSxb7,0,0,30,30
wDT0YFIR8qsaU6MQFZOyQ5gzBUAJSWsYsOGSOrXW,2,0,150,150
Wl1u4QxrVaSE6UC75EuMTVQiS8MnnONkM7mLNig4,0,0,0,0
wvPcbsdWqAHGEO3fpsmAi8OJMNkdZvz17iAfhQ8W,0,0,30,30
WZHlzYz7g2iCQQx6JF3bDbzOwHLclUVhUCDtBdBR,0,0,0,0
xBMg8zou2yBL6kOGF8HBxXdrcceqmE0egqHBfVVG,0,1,0,0
xEvDHd3wWRpozwBjijscjBqWI7SzehrNjtismYFu,1,0,90,90
xp0zmtE667ggA6cIWGoUlZXjsjG11Wlhv3EfU3yD,0,0,60,60
XqV2GEdDqmPnRJdl3biJaIuQmK5PCXE8wHWDEYZG,0,1,90,90
XwCAPUQcYUs3BDHXLICRwbysoVcH1IvhxSPnIKkC,0,1,90,90
y7skNa3J4PsY3dBmS422OUWy0GOsZy5sByr6mCBu,1,0,150,150
YF8n5JuwUmb7oYGAbwqQGQ7m5hDYUNCe8RTq6EaL,1,1,90,90
ylidPjIAUmor6jNV24JSJ5lNxNjjIKZ4pfgQlorp,8,0,360,360
Ym1TYKekBFN8IA3FfASnWnCbtKcuwOmeCtb5c1zM,0,0,30,30
ywCdh3bk07TNkV4rjVU4IPbZux880dSTFgXYg1h0,10,1,510,480
YXsKX2mb1P4KsRxXsUJjCkx8S30T8X52o1HOoH2w,0,2,240,240
Z3Ppr4q01TtfgWSOaR7gYPRY2o2VCOPzCvhjun66,0,0,60,60
zBoz83tDelk625gYB7BTsLH8G0x6o2caef7LsrYe,3,0,31470,240
ZjtTRKjhcDVGZzqKPgZZwdowNb3klZbePAw83ibn,0,0,60,60
ZxDkrdGFNcPZ2UtePNRKOf0CVbRRzhHSAH7gZO3d,0,0,0,0
